id,name,date,director,actor,language
1014189,Ludo,2020.0,Anurag Basu,Pankaj Tripathi,Hindi
1014198,Hridayam,2022.0,Vineeth Sreenivasan,Pranav Mohanlal,Malayalam
1014204,Neru,2023.0,Jeethu Joseph,Mohanlal,Malayalam
1014235,Chhichhore,2019.0,Nitesh Tiwari,Sushant Singh Rajput,Hindi
1014253,Karnan,2021.0,Mari Selvaraj,Dhanush,Tamil
1014278,Ek Ladki Ko Dekha Toh Aisa Laga,2019.0,Shelly Chopra Dhar,Sonam Kapoor Ahuja,Hindi
1014312,Mother India,1957.0,Mehboob Khan,Nargis,Hindi
1014334,Dilwale,2015.0,Rohit Shetty,Shah Rukh Khan,Hindi
1014353,Premam,2015.0,Alphonse Puthren,Nivin Pauly,Malayalam
1014355,Anand,1971.0,Hrishikesh Mukherjee,Rajesh Khanna,Hindi
1014420,Guntur Kaaram,2024.0,Trivikram Srinivas,Mahesh Babu,Telugu
1014447,Sapta Sagaradaache Ello - Side B,2023.0,Hemanth M. Rao,Rakshit Shetty,Kannada
1014450,Ship of Theseus,2012.0,Anand Gandhi,Aida El Kashef,Hindi
1014496,Aattam,2023.0,Anand Ekarshi,Zarin Shihab,Malayalam
1014520,Margarita with a Straw,2015.0,Shonali Bose,Kalki Koechlin,Hindi
1014545,Munna Bhai M.B.B.S.,2003.0,Rajkumar Hirani,Sanjay Dutt,Hindi
1014549,Lover,2024.0,Prabhuram Vyas,K. Manikandan,Tamil
1014567,Ugly,2013.0,Anurag Kashyap,Ronit Roy,Hindi
1014612,Tu Jhoothi Main Makkaar,2023.0,Luv Ranjan,Ranbir Kapoor,Hindi
1014613,The Chess Players,1977.0,Satyajit Ray,Sanjeev Kumar,Hindi
1014624,Asuran,2019.0,Vetrimaaran,Dhanush,Tamil
1014644,Lootera,2013.0,Vikramaditya Motwane,Ranveer Singh,Hindi
1014680,The Coward,1965.0,Satyajit Ray,Soumitra Chatterjee,"Bengali, Bangla"
1014702,Varisu,2023.0,Vamsi Paidipally,Vijay,Tamil
1014709,Pink,2016.0,Aniruddha Roy Chowdhury,Amitabh Bachchan,Hindi
1014749,Maamannan,2023.0,Mari Selvaraj,Udhayanidhi Stalin,Tamil
1014762,Curry & Cyanide: The Jolly Joseph Case,2023.0,Christo Tomy,Jolly Joseph,Malayalam
1014779,Jigarthanda,2014.0,Karthik Subbaraj,Siddharth,Tamil
1014870,Kannur Squad,2023.0,Roby Varghese Raj,Mammootty,Malayalam
1014874,Jaane Tu... Ya Jaane Na,2008.0,Abbas Tyrewala,Imran Khan,Hindi
1014911,Maqbool,2003.0,Vishal Bhardwaj,Irrfan Khan,Hindi
1014918,Sir,2018.0,Rohena Gera,Tillotama Shome,Hindi
1015011,A River Called Titas,1973.0,Ritwik Ghatak,Rosy Samad,"Bengali, Bangla"
1015043,Stree,2018.0,Amar Kaushik,Rajkummar Rao,Hindi
1015058,An Action Hero,2022.0,Anirudh Iyer,Ayushmann Khurrana,Hindi
1015059,Love Today,2022.0,Pradeep Ranganathan,Pradeep Ranganathan,Tamil
1015112,Qala,2022.0,Anvita Dutt,Triptii Dimri,Hindi
1015131,Pad Man,2018.0,R. Balki,Akshay Kumar,Hindi
1015149,Soorarai Pottru,2020.0,Sudha Kongara Prasad,Suriya,Tamil
1015157,Subarnarekha,1965.0,Ritwik Ghatak,Madhabi Mukherjee,"Bengali, Bangla"
1015169,Bombay,1995.0,Mani Ratnam,Arvind Swamy,Tamil
1015182,Jab Tak Hai Jaan,2012.0,Yash Chopra,Shah Rukh Khan,Hindi
1015222,Ante... Sundaraniki!,2022.0,Vivek Athreya,Nani,Telugu
1015225,Drishyam 2,2021.0,Jeethu Joseph,Mohanlal,Malayalam
1015233,OMG 2,2023.0,Amit Rai,Pankaj Tripathi,Hindi
1015246,Hanu-Man,2024.0,Prasanth Varma,Teja Sajja,Telugu
1015285,Article 15,2019.0,Anubhav Sinha,Ayushmann Khurrana,Hindi
1015329,Anbe Sivam,2003.0,Sundar C,Kamal Haasan,Tamil
1015409,Kabhi Alvida Naa Kehna,2006.0,Karan Johar,Shah Rukh Khan,Hindi
1015414,Beast,2022.0,Nelson Dilipkumar,Vijay,Tamil
1015428,Visaranai,2015.0,Vetrimaaran,Dinesh Ravi,Tamil
1015462,Mimi,2021.0,Laxman Utekar,Kriti Sanon,Hindi
1015465,Raees,2017.0,Rahul Dholakia,Shah Rukh Khan,Hindi
1015477,Mark Antony,2023.0,Adhik Ravichandran,Vishal Krishna,Tamil
1015497,Bareilly Ki Barfi,2017.0,Ashwiny Iyer Tiwari,Ayushmann Khurrana,Hindi
1015502,Fan,2016.0,Maneesh Sharma,Shah Rukh Khan,Hindi
1015512,Mahaan,2022.0,Karthik Subbaraj,Vikram,Tamil
1015519,Hera Pheri,2000.0,Priyadarshan,Akshay Kumar,Hindi
1015522,Gehraiyaan,2022.0,Shakun Batra,Deepika Padukone,Hindi
1015533,Ratsasan,2018.0,Ram Kumar,Vishnu Vishal,Tamil
1015534,Kummatty,1979.0,Govindan Aravindan,Ramunni,Malayalam
1015638,Raman Raghav 2.0,2016.0,Anurag Kashyap,Nawazuddin Siddiqui,Hindi
1015708,Krrish,2006.0,Rakesh Roshan,Hrithik Roshan,Hindi
1015752,Iratta,2023.0,Rohith Krishnan,Joju George,Malayalam
1015760,Kaagaz Ke Phool,1959.0,Guru Dutt,Waheeda Rehman,Hindi
1015775,Thunivu,2023.0,H. Vinoth,Ajith Kumar,Tamil
1015777,Iruvar,1997.0,Mani Ratnam,Mohanlal,Tamil
1015783,Koi... Mil Gaya,2003.0,Rakesh Roshan,Hrithik Roshan,Hindi
1015808,Jana Gana Mana,2022.0,Dijo Jose Antony,Prithviraj Sukumaran,Malayalam
1015847,Madgaon Express,2024.0,Kunal Khemu,Divyendu Sharma,Hindi
1015881,RDX: Robert Dony Xavier,2023.0,Nahas Hidayath,Shane Nigam,Malayalam
1015920,Tiger 3,2023.0,Maneesh Sharma,Salman Khan,Hindi
1016014,Good Night,2023.0,Vinayak Chandrasekaran,K. Manikandan,Tamil
1016154,No Smoking,2007.0,Anurag Kashyap,John Abraham,Hindi
1016159,Dhoom,2004.0,Sanjay Gadhvi,John Abraham,Hindi
1016167,Shershaah,2021.0,Vishnuvardhan,Sidharth Malhotra,Hindi
1016193,Pariyerum Perumal,2018.0,Mari Selvaraj,Kathir,Tamil
1016207,Badla,2019.0,Sujoy Ghosh,Amitabh Bachchan,Hindi
1016234,Water,2005.0,Deepa Mehta,Lisa Ray,Hindi
1016254,Deewaar,1975.0,Yash Chopra,Amitabh Bachchan,Hindi
1016261,A Wednesday!,2008.0,Neeraj Pandey,Anupam Kher,Hindi
1016288,Omkara,2006.0,Vishal Bhardwaj,Ajay Devgan,Hindi
1016321,Malaikottai Vaaliban,2024.0,Lijo Jose Pellissery,Mohanlal,Malayalam
1016388,Black,2005.0,Sanjay Leela Bhansali,Amitabh Bachchan,Hindi
1016399,Don 2,2011.0,Farhan Akhtar,Shah Rukh Khan,Hindi
